Fetched 0/1156 | 0.0% of days | 0.0% of MAX_TWEETS
Fetched 12/1156 | 1.0% of days | 1.3% of MAX_TWEETS
Fetched 12/1156 | 1.0% of days | 1.3% of MAX_TWEETS
Fetched 12/1156 | 1.0% of days | 1.3% of MAX_TWEETS
Fetched 12/1156 | 1.0% of days | 1.3% of MAX_TWEETS
Fetched 12/1156 | 1.0% of days | 1.3% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.3% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.4% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.4% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.4% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.4% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.4% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.4% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.4% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.4% of MAX_TWEETS
Fetched 13/1156 | 1.1% of days | 1.4% of MAX_TWEETS
Fetched 14/1156 | 1.2% of days | 1.4% of MAX_TWEETS
Fetched 14/1156 | 1.2% of days | 1.5% of MAX_TWEETS
Fetched 14/1156 | 1.2% of days | 1.5% of MAX_TWEETS
Fetched 14/1156 | 1.2% of days | 1.5% of MAX_TWEETS
Fetched 14/1156 | 1.2% of days | 1.5% of MAX_TWEETS
Fetched 15/1156 | 1.3% of days | 1.5% of MAX_TWEETS
Fetched 15/1156 | 1.3% of days | 1.5% of MAX_TWEETS
Fetched 15/1156 | 1.3% of days | 1.5% of MAX_TWEETS
Fetched 15/1156 | 1.3% of days | 1.5% of MAX_TWEETS
Fetched 15/1156 | 1.3% of days | 1.5% of MAX_TWEETS
Fetched 15/1156 | 1.3% of days | 1.5% of MAX_TWEETS
Fetched 16/1156 | 1.4% of days | 1.5% of MAX_TWEETS
Rate limit exceeded. Sleeping for 333 seconds.
Fetched 16/1156 | 1.4% of days | 1.6% of MAX_TWEETS
Fetched 16/1156 | 1.4% of days | 1.6% of MAX_TWEETS
Fetched 16/1156 | 1.4% of days | 1.6% of MAX_TWEETS
Fetched 16/1156 | 1.4% of days | 1.6% of MAX_TWEETS
Fetched 16/1156 | 1.4% of days | 1.6% of MAX_TWEETS
Fetched 16/1156 | 1.4% of days | 1.6% of MAX_TWEETS
Fetched 16/1156 | 1.4% of days | 1.6% of MAX_TWEETS
Fetched 16/1156 | 1.4% of days | 1.6% of MAX_TWEETS
Fetched 16/1156 | 1.4% of days | 1.6% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.6% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.7% of MAX_TWEETS
Fetched 17/1156 | 1.5% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.8% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 18/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 1.9% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 19/1156 | 1.6% of days | 2.0% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.1% of MAX_TWEETS
Fetched 20/1156 | 1.7% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.2% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.3% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.3% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.3% of MAX_TWEETS
Fetched 21/1156 | 1.8% of days | 2.3% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.3% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.3% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.3% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.3% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.3% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.3% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.4% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.4% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.4% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.4% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.4% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.4% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.4% of MAX_TWEETS
Fetched 22/1156 | 1.9% of days | 2.4% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.4% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.4% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 23/1156 | 2.0% of days | 2.5% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.5% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.6% of MAX_TWEETS
Fetched 24/1156 | 2.1% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.7% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.8% of MAX_TWEETS
Fetched 25/1156 | 2.2% of days | 2.8% of MAX_TWEETS
Fetched 26/1156 | 2.2% of days | 2.8% of MAX_TWEETS
Fetched 26/1156 | 2.2% of days | 2.8% of MAX_TWEETS
Fetched 26/1156 | 2.2% of days | 2.8% of MAX_TWEETS
Fetched 26/1156 | 2.2% of days | 2.8% of MAX_TWEETS
Fetched 26/1156 | 2.2% of days | 2.8% of MAX_TWEETS
Fetched 26/1156 | 2.2% of days | 2.8% of MAX_TWEETS
Fetched 27/1156 | 2.3% of days | 2.8% of MAX_TWEETS
Fetched 27/1156 | 2.3% of days | 2.8% of MAX_TWEETS
Fetched 27/1156 | 2.3% of days | 2.9% of MAX_TWEETS
Fetched 27/1156 | 2.3% of days | 2.9% of MAX_TWEETS
Fetched 27/1156 | 2.3% of days | 2.9% of MAX_TWEETS
Fetched 27/1156 | 2.3% of days | 2.9% of MAX_TWEETS
Fetched 27/1156 | 2.3% of days | 2.9% of MAX_TWEETS
Fetched 28/1156 | 2.4% of days | 2.9% of MAX_TWEETS
Fetched 28/1156 | 2.4% of days | 2.9% of MAX_TWEETS
Fetched 28/1156 | 2.4% of days | 2.9% of MAX_TWEETS
Fetched 28/1156 | 2.4% of days | 2.9% of MAX_TWEETS
Fetched 28/1156 | 2.4% of days | 2.9% of MAX_TWEETS
Fetched 29/1156 | 2.5% of days | 3.0% of MAX_TWEETS
Fetched 29/1156 | 2.5% of days | 3.0% of MAX_TWEETS
Fetched 29/1156 | 2.5% of days | 3.0% of MAX_TWEETS
Fetched 29/1156 | 2.5% of days | 3.0% of MAX_TWEETS
Fetched 29/1156 | 2.5% of days | 3.0% of MAX_TWEETS
Fetched 30/1156 | 2.6% of days | 3.0% of MAX_TWEETS
Fetched 30/1156 | 2.6% of days | 3.0% of MAX_TWEETS
Fetched 30/1156 | 2.6% of days | 3.0% of MAX_TWEETS
Fetched 30/1156 | 2.6% of days | 3.0% of MAX_TWEETS
Fetched 30/1156 | 2.6% of days | 3.0% of MAX_TWEETS
Fetched 31/1156 | 2.7% of days | 3.0% of MAX_TWEETS
Fetched 31/1156 | 2.7% of days | 3.1% of MAX_TWEETS
Fetched 31/1156 | 2.7% of days | 3.1% of MAX_TWEETS
Fetched 31/1156 | 2.7% of days | 3.1% of MAX_TWEETS
Fetched 31/1156 | 2.7% of days | 3.1% of MAX_TWEETS
Fetched 31/1156 | 2.7% of days | 3.1% of MAX_TWEETS
Fetched 31/1156 | 2.7% of days | 3.1% of MAX_TWEETS
Fetched 31/1156 | 2.7% of days | 3.1% of MAX_TWEETS
Fetched 32/1156 | 2.8% of days | 3.1% of MAX_TWEETS
Fetched 32/1156 | 2.8% of days | 3.1% of MAX_TWEETS
Fetched 32/1156 | 2.8% of days | 3.1% of MAX_TWEETS
Fetched 32/1156 | 2.8% of days | 3.2% of MAX_TWEETS
Fetched 32/1156 | 2.8% of days | 3.2% of MAX_TWEETS
Fetched 32/1156 | 2.8% of days | 3.2% of MAX_TWEETS
Fetched 32/1156 | 2.8% of days | 3.2% of MAX_TWEETS
Fetched 32/1156 | 2.8% of days | 3.2% of MAX_TWEETS
Fetched 32/1156 | 2.8% of days | 3.2% of MAX_TWEETS
Fetched 33/1156 | 2.9% of days | 3.2% of MAX_TWEETS
Fetched 33/1156 | 2.9% of days | 3.2% of MAX_TWEETS
Fetched 33/1156 | 2.9% of days | 3.2% of MAX_TWEETS
Fetched 33/1156 | 2.9% of days | 3.2% of MAX_TWEETS
Fetched 33/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 33/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 33/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 33/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 33/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.3% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.4% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.4% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.4% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.4% of MAX_TWEETS
Fetched 34/1156 | 2.9% of days | 3.4% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.4% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.4% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.4% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.4% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.4% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.5% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.6% of MAX_TWEETS
Fetched 35/1156 | 3.0% of days | 3.6% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.6% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.6% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.6% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.6% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.6% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.6% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.6% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.6% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.7% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.7% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.7% of MAX_TWEETS
Fetched 36/1156 | 3.1% of days | 3.7% of MAX_TWEETS
Fetched 37/1156 | 3.2% of days | 3.7% of MAX_TWEETS
Fetched 37/1156 | 3.2% of days | 3.7% of MAX_TWEETS
Fetched 37/1156 | 3.2% of days | 3.7% of MAX_TWEETS
Fetched 37/1156 | 3.2% of days | 3.7% of MAX_TWEETS
Fetched 37/1156 | 3.2% of days | 3.7% of MAX_TWEETS
Fetched 38/1156 | 3.3% of days | 3.7% of MAX_TWEETS
Fetched 38/1156 | 3.3% of days | 3.8% of MAX_TWEETS
Fetched 38/1156 | 3.3% of days | 3.8% of MAX_TWEETS
Fetched 38/1156 | 3.3% of days | 3.8% of MAX_TWEETS
Fetched 38/1156 | 3.3% of days | 3.8% of MAX_TWEETS
Fetched 38/1156 | 3.3% of days | 3.8% of MAX_TWEETS
Fetched 38/1156 | 3.3% of days | 3.8% of MAX_TWEETS
Fetched 39/1156 | 3.4% of days | 3.8% of MAX_TWEETS
Fetched 39/1156 | 3.4% of days | 3.8% of MAX_TWEETS
Fetched 39/1156 | 3.4% of days | 3.8% of MAX_TWEETS
Fetched 39/1156 | 3.4% of days | 3.8% of MAX_TWEETS
Fetched 39/1156 | 3.4% of days | 3.9% of MAX_TWEETS
Fetched 39/1156 | 3.4% of days | 3.9% of MAX_TWEETS
Fetched 39/1156 | 3.4% of days | 3.9% of MAX_TWEETS
Fetched 39/1156 | 3.4% of days | 3.9% of MAX_TWEETS
Fetched 39/1156 | 3.4% of days | 3.9% of MAX_TWEETS
